stationname,latitude,longitude
E 91 St & Park Ave,40.7835,-73.9553
Pearl St & Anchorage Pl,40.7028,-73.9877
Rivington St & Chrystie St,40.7211,-73.9919
Throop Ave & Myrtle Ave,40.6962,-73.9437
E 5 St & Avenue C,40.723,-73.98
E 25 St & 2 Ave,40.7391,-73.9797
Clinton St & Centre St,40.6743,-74.0019
Greenwich Ave & Charles St,40.7352,-74.0003
W 22 St & 8 Ave,40.7448,-73.9992
Christopher St & Greenwich St,40.7329,-74.0071
E 16 St & 5 Ave,40.7373,-73.9924
Jackson Ave & 46 Rd,40.7452,-73.9473
E 47 St & Park Ave,40.7551,-73.975
McGuinness Blvd & Eagle St,40.7356,-73.9528
Cleveland Pl & Spring St,40.7221,-73.9972
W 26 St & 8 Ave,40.7473,-73.9972
Jay St & Tech Pl,40.6951,-73.9872
Willoughby Ave & Tompkins Ave,40.6943,-73.9463
W 52 St & 11 Ave,40.7673,-73.9939
Amsterdam Ave & W 79 St,40.7829,-73.9787
W 78 St & Broadway,40.7834,-73.9809
8 Ave & W 33 St,40.7516,-73.9939
Devoe St & Leonard St,40.7135,-73.9479
Leonard St & Boerum St,40.7058,-73.9464
W 29 St & 9 Ave,40.7501,-73.9984
E 65 St & 2 Ave,40.7647,-73.9622
Brooklyn Bridge Park - Pier 2,40.6988,-73.9971
Greenwich St & North Moore St,40.7202,-74.0104
3 Ave & Schermerhorn St,40.6868,-73.9797
6 Ave & Broome St,40.7244,-74.0047
Dean St & Hoyt St,40.6864,-73.9876
University Pl & E 14 St,40.7349,-73.992
Monroe St & Classon Ave,40.6846,-73.9588
Front St & Maiden Ln,40.7053,-74.0061
E 43 St & 2 Ave,40.7502,-73.9712
Riverside Dr & W 72 St,40.7806,-73.9856
Elizabeth St & Hester St,40.7173,-73.9964
Broad St & Bridge St,40.7037,-74.0117
Greene Ave & Throop Ave,40.6895,-73.9421
Central Park West & W 102 St,40.7953,-73.9619
Baldwin at Montgomery,40.7237,-74.0642
12 Ave & W 40 St,40.7609,-74.0028
Mercer St & Spring St,40.7236,-73.9995
E 58 St & 1 Ave,40.7589,-73.9623
W 64 St & West End Ave,40.7745,-73.9875
3 St & Prospect Park West,40.6681,-73.9736
Front St & Washington St,40.7026,-73.9894
Fulton St & Broadway,40.7111,-74.0094
E 84 St & Park Ave,40.7786,-73.9577
E 91 St & 2 Ave,40.7811,-73.9497
Fulton St & Clermont Ave,40.6842,-73.9692
Carroll St & Smith St,40.6806,-73.9948
5 St & 6 Ave,40.6705,-73.9821
6 Ave & W 33 St,40.749,-73.9885
E 55 St & 2 Ave,40.758,-73.966
8D OPS 01,40.6849,-74.0254
Garfield Pl & 8 Ave,40.6712,-73.9748
Hoyt St & Warren St,40.6844,-73.989
W 42 St & 8 Ave,40.7576,-73.991
Central Park West & W 68 St,40.7734,-73.9778
2 Ave & 9 St,40.6725,-73.9933
W 100 St & Broadway,40.7974,-73.9704
W 13 St & 6 Ave,40.7365,-73.997
Norman Ave & Leonard St,40.7258,-73.9506
Shevchenko Pl & E 7 St,40.7281,-73.9902
Madison Ave & E 82 St,40.7781,-73.9607
West End Ave & W 107 St,40.8021,-73.9682
East End Ave & E 86 St,40.7752,-73.9445
1 Ave & E 44 St,40.75,-73.9691
E 10 St & 5 Ave,40.7333,-73.9951
Exchange Place,40.7162,-74.0335
Stanton St & Mangin St,40.7178,-73.9763
Clermont Ave & Lafayette Ave,40.6876,-73.9697
Driggs Ave & Lorimer St,40.7218,-73.9504
Morris Canal,40.7124,-74.0385
Columbia St & W 9 St,40.677,-74.0065
