stationname,latitude,longitude
South End Ave & Liberty St,40.7115,-74.0158
Hope St & Union Ave,40.7117,-73.9514
Pike St & Monroe St,40.7117,-73.9919
Graham Ave & Grand St,40.7119,-73.944
Cherry St,40.7122,-73.9795
Bushwick Ave & Powers St,40.7125,-73.941
S 3 St & Bedford Ave,40.7126,-73.9626
Madison St & Clinton St,40.7127,-73.9878
Centre St & Chambers St,40.7127,-74.0046
Essex Light Rail,40.7128,-74.0365
S 4 St & Wythe Ave,40.7129,-73.9659
Grand St & Havemeyer St,40.7129,-73.957
Barclay St & Church St,40.7129,-74.0102
St James Pl & Oliver St,40.7131,-73.9985
Madison St & Montgomery St,40.7131,-73.9848
Devoe St & Lorimer St,40.7134,-73.9491
Division St & Bowery,40.7141,-73.997
Paulus Hook,40.7141,-74.0336
Pike St & E Broadway,40.7141,-73.9929
Metropolitan Ave & Meeker Ave,40.7141,-73.9523
Henry St & Grand St,40.7142,-73.9813
Canal St & Rutgers St,40.7143,-73.9899
Reade St & Broadway,40.7145,-74.0056
Marin Light Rail,40.7146,-74.0428
Roebling St & N 4 St,40.7147,-73.9574
Warren St & Church St,40.7147,-74.0091
Murray St & Greenwich St,40.7149,-74.0112
Centre St & Worth St,40.7149,-74.0023
Murray St & West St,40.715,-74.013
Graham Ave & Conselyea St,40.7151,-73.9445
Vesey Pl & River Terrace,40.7153,-74.0166
Metropolitan Ave & Bedford Ave,40.7153,-73.9602
Clinton St & Grand St,40.7156,-73.987
Forsyth St & Canal St,40.7158,-73.9942
Bayard St & Baxter St,40.716,-73.9997
Union Ave & Jackson St,40.7161,-73.952
Allen St & Hester St,40.7161,-73.9919
Bialystoker Pl & Delancey St,40.7162,-73.9826
Exchange Place,40.7162,-74.0335
Hudson St & Reade St,40.7163,-74.0091
Jackson St & Leonard St,40.7164,-73.9482
NYCBS DEPOT - DELANCEY,40.7164,-73.9823
York St,40.7165,-74.041
JC Medical Center,40.7165,-74.0496
NYCBS Depot - PIT,40.7169,-73.9838
Wythe Ave & Metropolitan Ave,40.7169,-73.9632
Graham Ave & Withers St,40.717,-73.9449
Norfolk St & Broome St,40.7172,-73.988
Columbia St & Rivington St,40.7174,-73.9802
Duane St & Greenwich St,40.7175,-74.0105
N 6 St & Bedford Ave,40.7175,-73.9585
West St & Chambers St,40.7175,-74.0132
Leonard St & Church St,40.7176,-74.0055
Frost St & Meeker St,40.7176,-73.9488
N 8 St & Driggs Ave,40.7177,-73.956
City Hall,40.7177,-74.0438
Stanton St & Mangin St,40.7178,-73.9763
Columbus Drive,40.7184,-74.0389
Rivington St & Ridge St,40.7185,-73.9833
Van Vorst Park,40.7185,-74.0477
Harrison St & Hudson St,40.7187,-74.009
Grand St & Elizabeth St,40.7188,-73.996
Forsyth St & Broome St,40.7189,-73.9927
Berry St & N 8 St,40.719,-73.9585
Franklin St & W Broadway,40.7191,-74.0067
Howard St & Centre St,40.7191,-73.9997
Richardson St & N Henry St,40.7191,-73.9422
Bayard St & Leonard St,40.7192,-73.9489
Union Ave & N 12 St,40.7192,-73.9524
Harborsid,40.7193,-74.0342
Pitt St & Stanton St,40.7193,-73.9818
Graham Ave & Herbert St,40.7193,-73.945
Lispenard St & Broadway,40.7194,-74.0025
Grove St PATH,40.7196,-74.0431
Allen St & Rivington St,40.7202,-73.99
Kent Ave & N 7 St,40.7204,-73.9617
Suffolk St & Stanton St,40.7207,-73.9852
N 12 St & Bedford Ave,40.7208,-73.9548
Avenue D & E 3 St,40.7208,-73.9779
E 2 St & Avenue C,40.7209,-73.9809
Warren St,40.7211,-74.0381
Rivington St & Chrystie St,40.7211,-73.9919
Greenwich St & Hubert St,40.7213,-74.0101
N 11 St & Wythe Ave,40.7215,-73.9578
Newark Ave,40.7215,-74.0463
Eckford St & Engert Ave,40.7215,-73.948
Grand St & Greene St,40.7217,-74.0023
Driggs Ave & Lorimer St,40.7218,-73.9504
Laight St & Hudson St,40.7219,-74.0077
Cleveland Pl & Spring St,40.7221,-73.9972
Allen St & Stanton St,40.7221,-73.9891
E 2 St & Avenue B,40.7222,-73.9837
E 6 St & Avenue D,40.7223,-73.9767
Stanton St & Chrystie St,40.7223,-73.9915
6 Ave & Canal St,40.7224,-74.0057
E 5 St & Avenue C,40.723,-73.98
Bedford Ave & Nassau Ave,40.7231,-73.9521
Mott St & Prince St,40.7232,-73.9948
Driggs Ave & N Henry St,40.7233,-73.9431
Mercer St & Spring St,40.7236,-73.9995
Avenue D & E 8 St,40.7237,-73.9757
N 15 St & Wythe Ave,40.7241,-73.9557
Watts St & Greenwich St,40.7241,-74.0097
Lafayette St & Jersey St,40.7243,-73.996
E 6 St & Avenue B,40.7245,-73.9819
E 3 St & 1 Ave,40.7247,-73.9878
Nassau Ave & Newell St,40.7248,-73.9475
W Broadway & Spring Street,40.7249,-74.0017
W Broadway & Spring St,40.7249,-74.0015
E 2 St & 2 Ave,40.725,-73.9907
E 9 St & Avenue C,40.7252,-73.9777
NYCBS Depot - RIS,40.7252,-73.9747
6 Ave & Spring St,40.7253,-74.0041
Nassau Ave & Russell St,40.7256,-73.9443
Norman Ave & Leonard St,40.7258,-73.9507
Avenue D & E 12 St,40.7258,-73.9742
Norman Ave & Leonard St - 2,40.7258,-73.9506
Banker St & Meserole Ave,40.7261,-73.9562
E 7 St & Avenue A,40.7262,-73.9838
E 4 St & 2 Ave,40.7263,-73.9898
MacDougal St & Prince St,40.7271,-74.003
Meserole Ave & Manhattan Ave,40.7271,-73.953
Mercer St & Bleecker St,40.7271,-73.9966
Newport PATH,40.7272,-74.0338
Great Jones St,40.7274,-73.9938
E 10 St & Avenue A,40.7274,-73.9814
Hamilton Park,40.7276,-74.0442
Pier 40 - Hudson River Park,40.7277,-74.0113
St Marks Pl & 1 Ave,40.7278,-73.9856
E 12 St & Avenue B,40.728,-73.9788
St Marks Pl & 2 Ave,40.7284,-73.9871
Newport Pkwy,40.7287,-74.0321
Greenwich St & W Houston St,40.7288,-74.0086
Washington Pl & Broadway,40.729,-73.994
Milton St & Franklin St,40.7291,-73.9578
Cooper Square & E 7 St,40.7292,-73.9909
LaGuardia Pl & W 3 St,40.7292,-73.9981
E 14 St & Avenue B,40.7294,-73.9777
E 11 St & 1 Ave,40.7295,-73.9843
E 13 St & Avenue A,40.7296,-73.9806
Lafayette St & E 8 St,40.7302,-73.991
Greenpoint Ave & Manhattan Ave,40.7303,-73.9539
NYCBS Depot - STY - Garage 4,40.7304,-73.9748
Carmine St & 6 Ave,40.7304,-74.0021
E 11 St & 2 Ave,40.7305,-73.9867
Sullivan St & Washington Sq,40.7305,-73.9991
University Pl & E 8 St,40.7314,-73.9949
Barrow St & Hudson St,40.7317,-74.0067
India St & West St,40.7318,-73.96
E 12 St & 3 Ave,40.7322,-73.9889
Washington Pl & 6 Ave,40.7322,-74.0003
1 Ave & E 16 St,40.7322,-73.9817
India St & Manhattan Ave,40.7323,-73.9551
MacDougal St & Washington Sq,40.7323,-73.9985
E 11 St & Broadway,40.7326,-73.9916
Huron St & Franklin St,40.7327,-73.9583
Christopher St & Greenwich St,40.7329,-74.0071
